id,created_at,device_id,temperature,humidity
11,2025-10-01 14:58:19.714213+00,1,24.9,35
12,2025-10-01 14:58:23.171001+00,1,25.3,35
13,2025-10-01 14:58:26.620665+00,1,25.4,35
14,2025-10-01 14:58:30.013735+00,1,25.4,35
15,2025-10-01 14:58:33.354121+00,1,25.5,35
16,2025-10-01 14:58:36.784514+00,1,25.6,35
17,2025-10-01 14:58:40.234305+00,1,25.6,35
18,2025-10-01 14:58:43.564657+00,1,25.6,35
19,2025-10-01 14:58:47.026941+00,1,25.7,35
20,2025-10-01 14:58:50.499015+00,1,25.8,35
21,2025-10-01 14:58:53.970773+00,1,25.8,35
22,2025-10-01 14:58:57.356861+00,1,25.9,35
23,2025-10-01 14:59:00.718548+00,1,25.9,35
24,2025-10-01 14:59:04.108493+00,1,26,35
25,2025-10-01 14:59:07.478238+00,1,26,35
26,2025-10-01 14:59:10.858299+00,1,26,35
27,2025-10-01 14:59:14.241332+00,1,26,35
28,2025-10-01 14:59:17.6192+00,1,26.1,35
29,2025-10-01 14:59:20.940834+00,1,26.1,35
30,2025-10-01 14:59:24.27943+00,1,26.1,35
31,2025-10-01 14:59:27.650878+00,1,26.1,35
32,2025-10-01 14:59:31.029173+00,1,26.2,34
33,2025-10-01 14:59:34.401485+00,1,26.2,34
34,2025-10-23 08:51:30.755909+00,1,25.5,55
35,2025-10-23 12:03:52.548374+00,1,23.3,42
36,2025-10-23 12:10:03.243187+00,1,23.3,41
37,2025-10-23 12:17:55.538527+00,1,23.1,41
38,2025-10-23 12:18:35.06364+00,1,23.1,41
39,2025-10-23 12:18:56.757544+00,1,23.1,41
40,2025-10-23 12:19:07.410403+00,1,23.1,41
41,2025-10-23 12:22:39.761871+00,1,23,41
42,2025-10-23 12:26:44.049184+00,1,23,41
43,2025-10-23 12:28:13.07011+00,1,22.9,41
44,2025-10-23 12:28:21.721705+00,1,22.9,41
45,2025-10-23 12:30:20.157047+00,1,22.9,41
46,2025-10-23 12:32:24.965604+00,1,22.9,41
47,2025-10-23 12:34:13.693174+00,1,22.9,41
48,2025-10-23 12:34:50.052939+00,1,22.9,41
49,2025-10-23 12:34:59.41464+00,1,22.9,41
50,2025-10-23 12:35:09.06115+00,1,22.9,41
51,2025-10-23 12:35:18.53773+00,1,22.9,41
52,2025-10-23 12:35:27.966733+00,1,22.9,41
53,2025-10-23 12:35:37.512034+00,1,22.9,41
54,2025-10-23 12:35:47.233708+00,1,22.9,41
55,2025-10-23 12:35:56.91836+00,1,22.9,41
56,2025-10-23 12:36:06.373987+00,1,22.9,41
57,2025-10-23 12:36:16.07703+00,1,22.9,41
58,2025-10-23 12:36:25.478096+00,1,22.9,41
59,2025-10-23 12:36:34.619823+00,1,22.9,41
60,2025-10-23 12:36:44.279641+00,1,22.9,41
61,2025-10-23 12:36:53.740958+00,1,22.9,41
62,2025-10-27 13:56:54.499802+00,1,21.3,44
63,2025-10-27 13:57:04.486635+00,1,21.3,44
64,2025-10-27 13:57:14.389662+00,1,21.3,44
65,2025-10-27 13:57:23.955338+00,1,21.3,44
66,2025-10-27 13:57:33.459575+00,1,21.3,44
67,2025-10-27 13:57:42.930141+00,1,21.3,44
68,2025-10-27 13:57:52.766924+00,1,21.3,44
69,2025-10-27 13:58:02.13226+00,1,21.2,44
70,2025-10-27 13:58:11.935162+00,1,21.2,44
71,2025-10-27 13:58:21.494859+00,1,21.2,44
72,2025-10-27 13:58:30.98798+00,1,21.2,44
73,2025-10-27 13:58:40.629258+00,1,21.2,44
74,2025-10-27 13:58:50.277485+00,1,21.1,44
